         66773765 function calls (66611606 primitive calls) in 565.856 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.000    0.000    0.001    0.000 patches.py:934(get_bbox)
       23    0.000    0.000    0.000    0.000 table.py:880(match_header)
      128    0.000    0.000    0.000    0.000 lines.py:551(set_markevery)
       18    0.000    0.000    0.000    0.000 PngImagePlugin.py:380(__init__)
       12    0.000    0.000    0.005    0.000 axis.py:1707(grid)
       32    0.000    0.000    0.000    0.000 axis.py:189(_set_labelrotation)
       16    0.000    0.000    0.033    0.002 pyplot.py:3821(plot)
      256    0.000    0.000    0.000    0.000 connection.py:158(readable)
       23    0.000    0.000    0.020    0.001 header.py:806(copy)
       12    0.000    0.000    0.000    0.000 axis.py:899(reset_ticks)
      342    0.000    0.000    0.000    0.000 inspect.py:2794(kind)
      104    0.000    0.000    0.000    0.000 text.py:321(set_antialiased)
       72    0.000    0.000    0.000    0.000 ticker.py:2015(closeto)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      330    0.000    0.000    0.000    0.000 path.py:254(should_simplify)
       16    0.000    0.000    0.000    0.000 _base.py:983(get_xaxis_text2_transform)
       32    0.000    0.000    0.004    0.000 popen_spawn_win32.py:28(_close_handles)
       16    0.000    0.000    0.000    0.000 Image.py:3083(new)
       28    0.000    0.000    0.001    0.000 header.py:1881(_splitcommentary)
       46    0.000    0.000    0.010    0.000 base.py:959(size)
       79    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       14    0.000    0.000    0.001    0.000 utils.py:13(_validate_tile_shape)
      186    0.000    0.000    0.000    0.000 text.py:246(_get_multialignment)
       80    0.000    0.000    0.000    0.000 process.py:563(<genexpr>)
      114    0.000    0.000    0.000    0.000 header.py:131(__len__)
       68    0.000    0.000    0.001    0.000 __init__.py:1409(bind)
       24    0.000    0.000    0.000    0.000 synchronize.py:121(_make_name)
       64    0.000    0.000    0.000    0.000 axis.py:201(_pad)
       52    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1516(find_spec)
      296    0.000    0.000    0.000    0.000 Image.py:579(size)
       39    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       40    0.000    0.000    0.000    0.000 lines.py:968(_get_markerfacecolor)
      4/2    0.000    0.000    0.000    0.000 _parser.py:505(_parse)
        4    0.000    0.000    0.008    0.002 axis.py:856(clear)
        7    0.000    0.000    0.020    0.003 verify.py:62(verify)
       32    0.000    0.000    0.002    0.000 _base.py:539(<genexpr>)
       32    0.000    0.000    0.000    0.000 spawn.py:138(_check_not_importing_main)
       36    0.000    0.000    0.000    0.000 util.py:452(fileobj_is_binary)
       32    0.000    0.000    0.000    0.000 queues.py:57(__getstate__)
      228    0.000    0.000    0.000    0.000 text.py:292(get_transform_rotates_text)
       94    0.000    0.000    0.000    0.000 transforms.py:2216(transform_non_affine)
       18    0.000    0.000    0.000    0.000 PngImagePlugin.py:446(chunk_IHDR)
       23    0.000    0.000    0.000    0.000 compressed.py:650(section)
       84    0.000    0.000    0.000    0.000 core.py:6922(is_masked)
       16    0.000    0.000    0.000    0.000 _base.py:1065(get_yaxis_text2_transform)
       48    0.000    0.000    0.000    0.000 connection.py:117(__init__)
       36    0.000    0.000    0.000    0.000 ticker.py:2025(le)
       35    0.000    0.000    0.000    0.000 <frozen ntpath>:564(normpath)
      106    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
       90    0.000    0.000    0.000    0.000 numeric.py:2429(<genexpr>)
       38    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_check_name_wrapper)
       54    0.000    0.000    0.000    0.000 pathlib.py:1165(__new__)
       84    0.000    0.000    0.000    0.000 core.py:1408(getmask)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       72    0.000    0.000    0.000    0.000 transforms.py:2806(get_affine)
       31    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
       54    0.000    0.000    0.000    0.000 ImageFile.py:598(_safe_read)
      228    0.000    0.000    0.000    0.000 text.py:602(get_wrap)
      106    0.000    0.000    0.000    0.000 transforms.py:1773(__array__)
        4    0.000    0.000    0.000    0.000 ticker.py:2093(_validate_steps)
       82    0.000    0.000    0.000    0.000 pathlib.py:569(_tail)
       14    0.000    0.000    0.001    0.000 fromnumeric.py:3869(std)
       51    0.000    0.000    0.000    0.000 column.py:862(array)
       44    0.000    0.000    0.000    0.000 __init__.py:168(check_getitem)
       30    0.000    0.000    0.000    0.000 data.py:185(_requires_fsspec)
       62    0.000    0.000    0.001    0.000 transforms.py:236(__array__)
       16    0.000    0.000    0.003    0.000 arrayprint.py:828(_formatArray)
       28    0.000    0.000    0.000    0.000 <frozen ntpath>:275(dirname)
        2    0.000    0.000    0.017    0.008 backend_bases.py:2609(__init__)
        4    0.000    0.000    0.000    0.000 _function_base_impl.py:1369(diff)
       23    0.000    0.000    0.002    0.000 table.py:472(_nrows)
       74    0.000    0.000    0.000    0.000 ast.py:86(_convert)
       32    0.000    0.000    0.000    0.000 process.py:234(ident)
       23    0.000    0.000    0.002    0.000 fitsrec.py:506(__getitem__)
       14    0.000    0.000    0.000    0.000 Image.py:250(_conv_type_shape)
       66    0.000    0.000    0.000    0.000 artist.py:622(get_snap)
        7    0.000    0.000    0.000    0.000 _quantization.py:100(encode_quantized)
        2    0.000    0.000    0.017    0.008 _backend_tk.py:479(__init__)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.000    0.000 gridspec.py:648(get_position)
       56    0.000    0.000    0.000    0.000 backend_bases.py:811(set_alpha)
       52    0.000    0.000    0.000    0.000 transforms.py:2421(transform_path_non_affine)
       30    0.000    0.000    0.000    0.000 column.py:1736(formats)
       64    0.000    0.000    0.000    0.000 process.py:94(<genexpr>)
       16    0.000    0.000    0.055    0.003 dtype.py:477(img_as_float)
       24    0.000    0.000    0.000    0.000 ticker.py:768(<genexpr>)
       26    0.000    0.000    0.000    0.000 patches.py:362(_set_edgecolor)
       26    0.000    0.000    0.000    0.000 __init__.py:2437(pack_configure)
        4    0.000    0.000    0.007    0.002 scale.py:103(set_default_locators_and_formatters)
        8    0.000    0.000    0.000    0.000 _base.py:4408(get_children)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1122(find_spec)
        6    0.000    0.000    0.000    0.000 path.py:607(get_extents)
       28    0.000    0.000    0.000    0.000 artist.py:766(set_clip_box)
       48    0.000    0.000    0.000    0.000 tempfile.py:142(rng)
       32    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.new_block}
       83    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:632(cached)
      102    0.000    0.000    0.000    0.000 inspect.py:371(isfunction)
       18    0.000    0.000    0.000    0.000 ImageFile.py:323(load_prepare)
       14    0.000    0.000    0.000    0.000 patches.py:444(set_linestyle)
       26    0.000    0.000    0.001    0.000 legend.py:1128(_get_anchored_bbox)
       84    0.000    0.000    0.000    0.000 {built-in method math.log10}
       44    0.000    0.000    0.000    0.000 cbook.py:1861(_str_lower_equal)
       24    0.000    0.000    0.000    0.000 patches.py:429(set_linewidth)
        8    0.000    0.000    0.001    0.000 process.py:535(shutdown_workers)
       80    0.000    0.000    0.000    0.000 transforms.py:2208(<lambda>)
      148    0.000    0.000    0.000    0.000 figure.py:2857(_set_dpi)
        1    0.000    0.000    0.001    0.001 qt_compat.py:1(<module>)
       14    0.000    0.000    0.000    0.000 Image.py:738(__array_interface__)
        2    0.000    0.000    0.000    0.000 __init__.py:2338(_loadtk)
       48    0.000    0.000    0.000    0.000 cbook.py:2303(_is_torch_array)
       38    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1201(path_stats)
       54    0.000    0.000    0.000    0.000 pathlib.py:429(_format_parsed_parts)
       32    0.000    0.000    0.000    0.000 subprocess.py:290(_optim_args_from_interpreter_flags)
       64    0.000    0.000    0.000    0.000 axis.py:220(get_tick_padding)
      126    0.000    0.000    0.000    0.000 column.py:756(array)
      210    0.000    0.000    0.000    0.000 Image.py:583(mode)
       44    0.000    0.000    0.000    0.000 <frozen ntpath>:35(_get_bothseps)
       44    0.000    0.000    0.000    0.000 _weakrefset.py:21(__enter__)
       14    0.000    0.000    0.001    0.000 Image.py:929(convert)
       74    0.000    0.000    0.000    0.000 header.py:2234(_pad_length)
        2    0.000    0.000    0.000    0.000 cbook.py:330(disconnect)
       32    0.000    0.000    0.000    0.000 cbook.py:1348(_check_1d)
        5    0.000    0.000    0.000    0.000 _interpolation.py:47(spline_filter1d)
       64    0.000    0.000    0.000    0.000 transforms.py:2301(get_matrix)
      186    0.000    0.000    0.000    0.000 text.py:317(get_rotation_mode)
       37    0.000    0.000    0.001    0.000 _methods.py:54(_prod)
        5    0.000    0.000    0.000    0.000 _interpolation.py:135(spline_filter)
        3    0.000    0.000    0.000    0.000 enum.py:249(__set_name__)
       46    0.000    0.000    0.010    0.000 header.py:2027(data_size)
        8    0.000    0.000    0.001    0.000 spines.py:433(linear_spine)
       21    0.000    0.000    0.000    0.000 util.py:646(_write_string)
      100    0.000    0.000    0.000    0.000 {built-in method _tkinter._flatten}
       35    0.000    0.000    0.000    0.000 {built-in method nt._path_normpath}
       24    0.000    0.000    0.000    0.000 threading.py:567(__init__)
        8    0.000    0.000    0.000    0.000 axis.py:1957(_set_formatter)
       21    0.000    0.000    0.000    0.000 typing.py:371(inner)
       28    0.000    0.000    0.003    0.000 column.py:1638(_copy_column)
       51    0.000    0.000    0.000    0.000 column.py:951(ascii)
       46    0.000    0.000    0.000    0.000 header.py:1949(__delete__)
       24    0.000    0.000    0.000    0.000 patches.py:377(set_edgecolor)
      115    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 typing.py:2728(__new__)
       51    0.000    0.000    0.000    0.000 util.py:663(_convert_array)
        7    0.000    0.000    0.005    0.001 image.py:1167(_verify)
        7    0.000    0.000    0.012    0.002 base.py:1577(_verify)
       60    0.000    0.000    0.000    0.000 axis.py:713(<genexpr>)
       16    0.000    0.000    0.004    0.000 legend_handler.py:86(update_prop)
       32    0.000    0.000    0.000    0.000 __init__.py:1218(winfo_rgb)
        2    0.000    0.000    0.000    0.000 enum.py:515(__new__)
       38    0.000    0.000    0.001    0.000 transforms.py:1593(transform_path)
       40    0.000    0.000    0.001    0.000 axis.py:1749(update_units)
        8    0.000    0.000    0.000    0.000 __init__.py:376(__init__)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
       18    0.000    0.000    0.000    0.000 PngImagePlugin.py:547(chunk_pHYs)
        6    0.000    0.000    0.000    0.000 {built-in method matplotlib._c_internal_utils.display_is_valid}
       16    0.000    0.000    0.000    0.000 markers.py:776(_set_tickdown)
       88    0.000    0.000    0.000    0.000 transforms.py:2676(get_matrix)
       38    0.000    0.000    0.001    0.000 transforms.py:1602(transform_path_affine)
       36    0.000    0.000    0.000    0.000 ticker.py:2032(ge)
       26    0.000    0.000    0.000    0.000 patches.py:388(_set_facecolor)
      256    0.000    0.000    0.000    0.000 connection.py:163(writable)
       28    0.000    0.000    0.003    0.000 header.py:1907(_add_commentary)
       86    0.000    0.000    0.000    0.000 backend_bases.py:914(set_linewidth)
       36    0.000    0.000    0.000    0.000 _methods.py:58(_any)
       30    0.000    0.000    0.000    0.000 column.py:1732(names)
       32    0.000    0.000    0.000    0.000 queues.py:357(__getstate__)
       16    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.map_buffer}
        8    0.000    0.000    0.002    0.000 arrayprint.py:455(<lambda>)
       18    0.000    0.000    0.000    0.000 legend.py:1229(_get_legend_handles)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:1(<module>)
        8    0.000    0.000    0.001    0.000 context.py:110(SimpleQueue)
       32    0.000    0.000    0.000    0.000 threading.py:1463(current_thread)
        1    0.000    0.000    0.001    0.001 connection.py:1(<module>)
        2    0.000    0.000    0.044    0.022 ImageFile.py:563(_encode_tile)
        5    0.000    0.000    0.000    0.000 _polyint.py:116(_set_yi)
      136    0.000    0.000    0.000    0.000 spines.py:559(__getattr__)
        8    0.000    0.000    0.000    0.000 queues.py:71(_reset)
      4/2    0.000    0.000    0.000    0.000 _parser.py:445(_parse_sub)
        5    0.000    0.000    0.000    0.000 _arraypad_impl.py:154(_get_edges)
       22    0.000    0.000    0.000    0.000 transforms.py:2317(blended_transform_factory)
      158    0.000    0.000    0.000    0.000 artist.py:608(get_gid)
        4    0.000    0.000    0.000    0.000 colors.py:324(_to_rgba_no_colorcycle)
      228    0.000    0.000    0.000    0.000 text.py:1361(get_parse_math)
       24    0.000    0.000    0.001    0.000 tempfile.py:76(_exists)
      128    0.000    0.000    0.000    0.000 artist.py:720(get_path_effects)
        2    0.000    0.000    0.000    0.000 __init__.py:2374(readprofile)
       48    0.000    0.000    0.000    0.000 threading.py:1213(daemon)
        7    0.000    0.000    0.062    0.009 base.py:689(_writedata_direct_copy)
      104    0.000    0.000    0.000    0.000 lines.py:1457(is_dashed)
        8    0.000    0.000    0.000    0.000 context.py:85(BoundedSemaphore)
       16    0.000    0.000    0.000    0.000 {method 'difference_update' of 'set' objects}
       16    0.000    0.000    0.000    0.000 markers.py:756(_set_tickleft)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        4    0.000    0.000    0.000    0.000 patches.py:748(__init__)
  136/128    0.000    0.000    0.000    0.000 spines.py:203(_ensure_position_is_set)
        2    0.000    0.000    0.000    0.000 _shape_base_impl.py:742(array_split)
       28    0.000    0.000    0.000    0.000 _signaltools.py:1019(_numeric_arrays)
        1    0.000    0.000    0.002    0.002 GifImagePlugin.py:1(<module>)
       41    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        7    0.000    0.000    0.010    0.001 file.py:505(_overwrite_existing)
        4    0.000    0.000    0.001    0.000 axis.py:2389(_init)
       14    0.000    0.000    0.005    0.000 patches.py:633(draw)
        8    0.000    0.000    0.000    0.000 queue.py:34(__init__)
        2    0.000    0.000    0.026    0.013 figure.py:644(add_subplot)
       23    0.000    0.000    0.000    0.000 compressed.py:402(compression_type)
        4    0.000    0.000    0.000    0.000 ticker.py:2108(_staircase)
        4    0.000    0.000    0.001    0.000 axis.py:2613(_init)
       22    0.000    0.000    0.000    0.000 patches.py:501(set_capstyle)
        2    0.000    0.000    0.002    0.001 _base.py:828(_init_axis)
       44    0.000    0.000    0.000    0.000 _weakrefset.py:17(__init__)
       16    0.000    0.000    0.000    0.000 offsetbox.py:615(set_offset)
       53    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        4    0.000    0.000    0.007    0.002 ticker.py:573(set_useMathText)
       18    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.zip_decoder}
      140    0.000    0.000    0.000    0.000 fitsrec.py:1369(<genexpr>)
       14    0.000    0.000    0.000    0.000 column.py:2070(__new__)
        2    0.000    0.000    0.000    0.000 figure.py:123(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:892(_set_lim_and_transforms)
        2    0.000    0.000    0.000    0.000 figure.py:156(_get_draw_artists)
        5    0.000    0.000    0.000    0.000 _polyint.py:108(_reshape_yi)
       91    0.000    0.000    0.000    0.000 contextlib.py:434(__exit__)
       16    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.fill}
       74    0.000    0.000    0.000    0.000 column.py:1558(<genexpr>)
       74    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       26    0.000    0.000    0.026    0.001 pyplot.py:2774(gca)
       18    0.000    0.000    0.004    0.000 axis.py:1534(get_majorticklocs)
        7    0.000    0.000    0.000    0.000 numeric.py:772(convolve)
        6    0.000    0.000    0.000    0.000 transforms.py:1719(set)
        1    0.000    0.000    0.000    0.000 __init__.py:668(Misc)
        8    0.000    0.000    0.000    0.000 weakref.py:427(__setitem__)
       38    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        4    0.000    0.000    0.001    0.000 _base.py:3435(tick_params)
      130    0.000    0.000    0.000    0.000 column.py:899(coord_type)
      130    0.000    0.000    0.000    0.000 column.py:914(coord_ref_point)
        2    0.000    0.000    0.000    0.000 patches.py:4031(get_path)
        4    0.000    0.000    0.000    0.000 _base.py:1543(_set_title_offset_trans)
       37    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
       23    0.000    0.000    0.000    0.000 column.py:239(__init__)
       42    0.000    0.000    0.000    0.000 column.py:2091(__array_finalize__)
        8    0.000    0.000    0.000    0.000 weakref.py:369(remove)
       23    0.000    0.000    0.000    0.000 compressed.py:357(_remove_unnecessary_default_extnames)
        4    0.000    0.000    0.000    0.000 backend_bases.py:1987(_switch_canvas_and_return_print_method)
        7    0.000    0.000    0.003    0.000 column.py:1512(_init_from_coldefs)
       32    0.000    0.000    0.000    0.000 axis.py:205(_apply_tickdir)
        1    0.000    0.000    0.000    0.000 reduction.py:1(<module>)
       50    0.000    0.000    0.000    0.000 <frozen _collections_abc>:911(__iter__)
       32    0.000    0.000    0.000    0.000 {method 'convert2' of 'ImagingCore' objects}
      4/0    0.000    0.000    0.000          axis.py:2234(_get_tick_boxes_siblings)
       29    0.000    0.000    0.000    0.000 header.py:2226(_block_size)
       28    0.000    0.000    0.000    0.000 pyplot.py:1095(gcf)
        2    0.000    0.000    0.012    0.006 _axes.py:218(legend)
       46    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
        8    0.000    0.000    0.001    0.000 threading.py:978(run)
       14    0.000    0.000    0.000    0.000 base.py:584(_update_checksum)
       24    0.000    0.000    0.010    0.000 offsetbox.py:291(get_offset)
        2    0.000    0.000    0.010    0.005 _backend_tk.py:584(destroy)
      128    0.000    0.000    0.000    0.000 backend_bases.py:748(get_clip_path)
      128    0.000    0.000    0.000    0.000 font_manager.py:906(set_file)
       21    0.000    0.000    0.028    0.001 util.py:568(<lambda>)
       36    0.000    0.000    0.000    0.000 ticker.py:2000(__init__)
      130    0.000    0.000    0.000    0.000 column.py:909(coord_unit)
       26    0.000    0.000    0.002    0.000 __init__.py:1695(configure)
       51    0.000    0.000    0.000    0.000 inspect.py:767(_is_wrapper)
        8    0.000    0.000    0.000    0.000 arrayprint.py:454(<lambda>)
       14    0.000    0.000    0.000    0.000 base.py:562(_prewriteto)
     36/4    0.000    0.000    0.000    0.000 transforms.py:2370(_invalidate_internal)
       28    0.000    0.000    0.000    0.000 util.py:694(_is_pseudo_integer)
      130    0.000    0.000    0.000    0.000 column.py:937(time_ref_pos)
        2    0.000    0.000    0.000    0.000 legend.py:1263(_get_legend_handles_labels)
      141    0.000    0.000    0.000    0.000 fromnumeric.py:2875(_cumsum_dispatcher)
      130    0.000    0.000    0.000    0.000 column.py:923(coord_ref_value)
      130    0.000    0.000    0.000    0.000 column.py:932(coord_inc)
       18    0.000    0.000    0.000    0.000 fromnumeric.py:2962(ptp)
        2    0.000    0.000    0.000    0.000 backend_bases.py:2822(__init__)
       32    0.000    0.000    0.000    0.000 Image.py:3064(_check_size)
       48    0.000    0.000    0.000    0.000 connection.py:275(_close)
       72    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
       42    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        5    0.000    0.000    0.001    0.000 _polyint.py:60(__call__)
       72    0.000    0.000    0.000    0.000 cbook.py:129(__hash__)
        6    0.000    0.000    0.005    0.001 _base.py:3273(grid)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:1(<module>)
       16    0.000    0.000    0.000    0.000 offsetbox.py:744(set_offset)
       41    0.000    0.000    0.000    0.000 getlimits.py:708(min)
        4    0.000    0.000    0.000    0.000 ticker.py:2114(set_params)
        2    0.000    0.000    0.006    0.003 axis.py:2449(_update_label_position)
        2    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        2    0.000    0.000    0.000    0.000 _base.py:837(set_figure)
      128    0.000    0.000    0.000    0.000 markers.py:449(_set_nothing)
      104    0.000    0.000    0.000    0.000 text.py:606(set_wrap)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
       32    0.000    0.000    0.000    0.000 context.py:253(get_start_method)
      128    0.000    0.000    0.000    0.000 backend_bases.py:721(restore)
        7    0.000    0.000    0.000    0.000 enum.py:383(__setitem__)
       14    0.000    0.000    0.000    0.000 column.py:466(tform)
       16    0.000    0.000    0.000    0.000 axis.py:701(_get_shared_axes)
       12    0.000    0.000    0.000    0.000 transforms.py:779(frozen)
       20    0.000    0.000    0.000    0.000 transforms.py:1836(is_separable)
        8    0.000    0.000    0.001    0.000 process.py:165(__init__)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:976(find_spec)
       36    0.000    0.000    0.000    0.000 __init__.py:1706(cget)
       21    0.000    0.000    0.000    0.000 file.py:426(write)
        2    0.000    0.000    0.135    0.067 backend_bases.py:3494(new_figure_manager)
       28    0.000    0.000    0.000    0.000 _backend_tk.py:219(filter_destroy)
      158    0.000    0.000    0.000    0.000 backend_bases.py:164(close_group)
      128    0.000    0.000    0.000    0.000 backend_bases.py:918(set_url)
        4    0.000    0.000    0.010    0.003 legend.py:717(_findoffset)
      158    0.000    0.000    0.000    0.000 backend_bases.py:157(open_group)
        7    0.000    0.000    0.000    0.000 fitsrec.py:1014(_get_heap_data)
       24    0.000    0.000    0.000    0.000 text.py:1194(set_position)
        8    0.000    0.000    0.000    0.000 queues.py:140(close)
       47    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        2    0.000    0.000    0.044    0.022 ImageFile.py:535(_save)
      128    0.000    0.000    0.000    0.000 backend_bases.py:763(get_dashes)
       16    0.000    0.000    0.000    0.000 offsetbox.py:640(add_artist)
       16    0.000    0.000    0.000    0.000 axis.py:450(_get_text1_transform)
       96    0.000    0.000    0.000    0.000 util.py:48(debug)
       18    0.000    0.000    0.000    0.000 _backend_tk.py:769(_is_dark)
        8    0.000    0.000    0.000    0.000 threading.py:436(__init__)
       46    0.000    0.000    0.000    0.000 {method 'keys' of 'collections.OrderedDict' objects}
       23    0.000    0.000    0.232    0.010 compressed.py:604(_close)
       32    0.000    0.000    0.000    0.000 offsetbox.py:604(get_transform)
        8    0.000    0.000    0.000    0.000 shape_base.py:21(atleast_1d)
       86    0.000    0.000    0.000    0.000 artist.py:661(get_sketch_params)
        2    0.000    0.000    0.009    0.005 __init__.py:2364(destroy)
        7    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedWriter' objects}
       14    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_encoder}
      161    0.000    0.000    0.000    0.000 inspect.py:3075(parameters)
        4    0.000    0.000    0.000    0.000 axis.py:1983(set_major_locator)
        7    0.000    0.000    0.000    0.000 util.py:91(_remove_listener)
       18    0.000    0.000    0.000    0.000 PngImagePlugin.py:980(load_read)
        7    0.000    0.000    0.014    0.002 image.py:1262(_verify)
       60    0.000    0.000    0.000    0.000 image.py:605(_verify_blank)
      104    0.000    0.000    0.000    0.000 markers.py:272(get_fillstyle)
        6    0.000    0.000    0.000    0.000 _base.py:1149(_set_position)
       16    0.000    0.000    0.000    0.000 process.py:561(get_n_children_alive)
       38    0.000    0.000    0.000    0.000 _util.py:9(is_path)
       16    0.000    0.000    0.000    0.000 synchronize.py:168(__init__)
       16    0.000    0.000    0.000    0.000 markers.py:762(_set_tickright)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       77    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       72    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      116    0.000    0.000    0.000    0.000 multiarray.py:180(concatenate)
       48    0.000    0.000    0.000    0.000 cbook.py:2327(_is_tensorflow_array)
      176    0.000    0.000    0.000    0.000 enum.py:1257(__deepcopy__)
     28/0    0.000    0.000    0.000          text.py:738(draw)
        1    0.000    0.000    0.002    0.002 context.py:1(<module>)
       39    0.000    0.000    0.000    0.000 types.py:192(__init__)
      126    0.000    0.000    0.000    0.000 axis.py:264(get_loc)
       52    0.000    0.000    0.000    0.000 getlimits.py:621(tiny)
       30    0.000    0.000    0.000    0.000 column.py:1748(_dims)
      128    0.000    0.000    0.000    0.000 backend_bases.py:800(get_snap)
       18    0.000    0.000    0.000    0.000 PngImagePlugin.py:971(load_prepare)
       17    0.000    0.000    0.000    0.000 pathlib.py:380(with_segments)
       14    0.000    0.000    0.000    0.000 _backend_tk.py:923(add_tooltip)
      128    0.000    0.000    0.000    0.000 backend_bases.py:952(get_hatch_color)
        7    0.000    0.000    0.000    0.000 _tiled_compression.py:53(_compress_tile)
        4    0.000    0.000    0.007    0.002 ticker.py:452(__init__)
       26    0.000    0.000    0.000    0.000 core.py:624(filled)
        8    0.000    0.000    0.000    0.000 queues.py:350(close)
        7    0.000    0.000    0.000    0.000 {built-in method astropy.io.fits.hdu.compressed._compression.compress_rice_1_c}
        2    0.000    0.000    0.011    0.005 _pylab_helpers.py:44(destroy)
       48    0.000    0.000    0.000    0.000 cbook.py:2315(_is_jax_array)
       18    0.000    0.000    0.000    0.000 artist.py:1105(set_label)
        8    0.000    0.000    0.000    0.000 _base.py:77(__init__)
       16    0.000    0.000    0.000    0.000 threading.py:1015(_set_ident)
        4    0.000    0.000    0.000    0.000 backend_bases.py:2907(_wait_cursor_for_draw_cm)
        4    0.000    0.000    0.000    0.000 axis.py:2702(_update_offset_text_position)
       22    0.000    0.000    0.000    0.000 cbook.py:305(_connect_picklable)
        5    0.000    0.000    0.000    0.000 _polyint.py:91(_prepare_x)
        7    0.000    0.000    0.000    0.000 typing.py:175(_type_check)
       36    0.000    0.000    0.000    0.000 PngImagePlugin.py:742(_accept)
       16    0.000    0.000    0.000    0.000 markers.py:770(_set_tickup)
       91    0.000    0.000    0.000    0.000 contextlib.py:428(__init__)
        7    0.000    0.000    0.007    0.001 compressed.py:585(_writeto)
      104    0.000    0.000    0.000    0.000 cbook.py:1633(<lambda>)
        2    0.000    0.000    0.000    0.000 {built-in method matplotlib._c_internal_utils.Win32_GetForegroundWindow}
       21    0.000    0.000    0.000    0.000 fitsrec.py:670(_raw_itemsize)
       16    0.000    0.000    0.000    0.000 axis.py:389(_get_text1_transform)
       14    0.000    0.000    0.000    0.000 hatch.py:182(_validate_hatch_pattern)
       16    0.000    0.000    0.000    0.000 threading.py:1333(_make_invoke_excepthook)
       40    0.000    0.000    0.000    0.000 cbook.py:1705(safe_isfinite)
       36    0.000    0.000    0.000    0.000 ticker.py:1694(raise_if_exceeds)
        2    0.000    0.000    0.001    0.000 backend_agg.py:387(get_renderer)
       53    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      2/0    0.000    0.000    0.000          axis.py:2676(_update_label_position)
        8    0.000    0.000    0.000    0.000 spines.py:300(set_position)
       46    0.000    0.000    0.000    0.000 {method 'issubset' of 'set' objects}
       88    0.000    0.000    0.000    0.000 __init__.py:1937(__init__)
       16    0.000    0.000    0.000    0.000 axis.py:453(_get_text2_transform)
        8    0.000    0.000    0.001    0.000 queues.py:341(__init__)
       84    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        3    0.000    0.000    0.000    0.000 _version.py:55(__init__)
       28    0.000    0.000    0.003    0.000 header.py:1536(add_comment)
       36    0.000    0.000    0.000    0.000 transforms.py:1869(inverted)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.000    0.000 _axes.py:118(set_title)
       16    0.000    0.000    0.000    0.000 axis.py:392(_get_text2_transform)
        4    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
       46    0.000    0.000    0.000    0.000 header.py:2018(__len__)
